epoch,loss,accuracy
1,1.098480785833493,93.12
2,0.3003233857373439,95.78
3,0.1799132964853793,96.63
4,0.13526793469243975,97.21
5,0.11084192184242866,97.61
6,0.09466287678778806,97.82
7,0.08307823698832663,98.11
8,0.07508060508080001,98.1
9,0.0681650491653761,98.23
10,0.06264333350103357,98.28
11,0.058493045043510036,98.46
12,0.05478034443907075,98.48
13,0.05142296048036135,98.63
14,0.048932031047210764,98.59
15,0.046442682301796386,98.71
16,0.04457856194852893,98.77
17,0.04252411225743131,98.75
18,0.04101440757473331,98.82
19,0.03958474543652555,98.8
20,0.0381826907793469,98.76
