epoch,loss,accuracy
1,1.077146688002651,91.98
2,0.3804020929639622,94.31
3,0.26062831775111667,95.42
4,0.21101538597022074,95.99
5,0.18145940130797483,96.34
6,0.16200310604299528,96.67
7,0.1470611109950785,96.78
8,0.13578622308322938,96.97
9,0.12614664138626244,97.14
10,0.11909421981643822,97.21
11,0.11130347791112076,97.37
12,0.10585122864882825,97.45
13,0.1014091796162775,97.64
14,0.09634056188544984,97.69
15,0.09240050686491748,97.74
16,0.08925041998341932,97.84
17,0.08742253769631103,97.85
18,0.08548988057774003,97.93
19,0.083894028312574,97.97
20,0.08252268849666845,97.96
21,0.08093465692600456,97.99
22,0.08044590295876487,97.97
23,0.07881427890921043,98.05
24,0.0785812937291497,98.09
25,0.07662910740759413,98.13
26,0.07518301929457713,98.18
27,0.07396736239098896,98.17
28,0.07306547702874168,98.23
29,0.07229425688668834,98.26
30,0.07101452101211427,98.24
31,0.07024752617008605,98.3
32,0.06957840136552261,98.28
33,0.0693080242786367,98.26
34,0.0685410016863528,98.31
35,0.06807509127814891,98.31
36,0.06807303899046728,98.28
37,0.06735564124281124,98.37
38,0.06713682346803657,98.3
39,0.06664396683543415,98.33
40,0.0664700439547078,98.33
41,0.06585146208940926,98.34
42,0.06527983817129822,98.33
43,0.06501726998742353,98.38
44,0.06442883560212992,98.37
45,0.06439304897972083,98.35
46,0.06403831057881905,98.37
47,0.06410936070448262,98.36
48,0.06338769008042448,98.36
49,0.06328794505384008,98.34
50,0.06335700410654989,98.38
