epoch,loss,accuracy
1,1.5487777678442916,85.97
2,0.6345716749172984,92.75
3,0.341892882387267,94.77
4,0.2377917809463513,95.61
5,0.1869008262782717,96.15
6,0.1547738551172112,96.55
7,0.1335316863872095,96.95
8,0.11864506423092092,97.15
9,0.10673273404809966,97.38
10,0.09760945256966264,97.55
11,0.09067125751106724,97.68
12,0.0845613253237342,97.69
13,0.07935421459916939,97.8
14,0.0754425089591856,97.88
15,0.07197484559119383,97.99
16,0.0686893775137757,98.0
17,0.06617731413146707,98.06
18,0.06378756387870131,98.05
19,0.06141202346975806,98.16
20,0.05969350631716155,98.22
21,0.05805611653305066,98.25
22,0.05665160686587855,98.28
23,0.0551135714378343,98.29
24,0.05383413585462868,98.3
25,0.05267752008711193,98.35
26,0.05164221493896645,98.37
27,0.05073829831035216,98.42
28,0.049706616945294685,98.42
29,0.04900518722776601,98.43
30,0.04815191734653673,98.39
31,0.047565639457865946,98.43
32,0.04678375557906973,98.43
33,0.045969697493893,98.43
34,0.04542978610227834,98.44
35,0.044852489698876834,98.48
36,0.04437327230952855,98.47
37,0.04384306762347629,98.48
38,0.04333605279804452,98.47
39,0.04308818759861341,98.51
40,0.04258259658767248,98.48
41,0.042015889167054885,98.52
42,0.041800492643706326,98.53
43,0.041281487163243646,98.5
44,0.040847196434336555,98.53
45,0.040779677996122,98.54
46,0.04030693307030461,98.53
47,0.040090908677672656,98.53
48,0.03987550243997434,98.54
49,0.039420432325746456,98.54
50,0.03922494784144482,98.57
