epoch,loss,accuracy
1,0.7778973009095771,95.54
2,0.16624217777491124,97.13
3,0.10602476137247421,97.77
4,0.08075860047391228,98.1
5,0.06603170621957478,98.32
6,0.05622820328396838,98.46
7,0.05191961667740713,98.58
8,0.048120742177229316,98.65
9,0.04508883271938258,98.67
10,0.0421547516008843,98.75
11,0.03912386296193864,98.74
12,0.037878781511410595,98.78
13,0.03669659639182471,98.75
14,0.03558238143268139,98.76
15,0.03457478911820442,98.8
16,0.03348328896275938,98.76
17,0.03300093472210456,98.78
18,0.032439251483948245,98.79
19,0.03196700141111861,98.82
20,0.031454204263955926,98.8
