epoch,loss,accuracy
1,0.9239501090192083,91.82
2,0.29653125918750317,95.3
3,0.18571554227614961,96.39
4,0.13868435798709328,97.07
5,0.11274518686602873,97.38
6,0.09642608288222793,97.75
7,0.08491523308889952,97.95
8,0.07668061525439784,97.97
9,0.06997533687459889,98.09
10,0.0647548867095667,98.13
11,0.060879809202066364,98.08
12,0.057332337875641994,98.24
13,0.054242579492805865,98.31
14,0.05180352044774335,98.42
15,0.04977469787454364,98.32
16,0.0475438568157269,98.41
17,0.045713327258134255,98.44
18,0.04410989568340403,98.46
19,0.042636798927064005,98.49
20,0.04125153718353398,98.52
21,0.03983212080496207,98.46
22,0.0387427500490822,98.47
23,0.03777166326909558,98.55
24,0.0366585469012385,98.57
25,0.03612349327476914,98.59
26,0.03492123051099717,98.54
27,0.034196320560766755,98.54
28,0.033363047646664416,98.41
29,0.03266994045701807,98.57
30,0.03192736912193075,98.59
