epoch,loss,accuracy
1,1.4077432069188751,89.26
2,0.3893791216967711,95.6
3,0.18609583104597227,96.74
4,0.12827363854119264,97.37
5,0.10138565797541442,97.69
6,0.08589653629483952,97.96
7,0.07472262616509567,98.21
8,0.06715013184296742,98.26
9,0.06042523821319408,98.36
10,0.056024930022879324,98.39
11,0.05230327240272816,98.44
12,0.048765881763481254,98.56
13,0.04620366031204714,98.54
14,0.04357478331659299,98.55
15,0.0416909699250799,98.68
16,0.03959565320367943,98.68
17,0.03792950156520107,98.71
18,0.036311353455537924,98.73
19,0.0350964866987646,98.83
20,0.034008883057968384,98.77
